"","start","end","today","city","park","sign_name","sign_hours","hours_list","sign1_map","sign1_vol","sign1_contact","sign1_multilang","sign1_fund_priv","sign1_fund_pub","sign2_PAyes","sign2_PAno","sign2_limituse","sign2_prohibitalcohol","sign2_prohibitdrugs","sign2_prohibittobacco","sign3_prohibitfoodbev","sign3_nopets","sign3_gensafe","safety_phone","safety_camera","mrkt_banners","mrkt_posters","mrkt_boards","amen1_bike","amen1_shelter","amen1_auditorium","amen1_class","amen1_gym","amen1_office","amen1_otherbuild","amen2_handicapaccess","amen2_vend","amen2_art","amen2_drink","amen2_water_dec","amen2_water_nat","amen2_fieldlight","amen2_pathlight","amen2_trash","amen2_petbags","amen3_bench","amen3_grill","amen3_orngarden","amen3_commgarden","amen3_trees","bath","bath_acc","parking","parking_fee","fenced_baseball","fenced_sportsfield","fenced_playarea","playarea_shade","playarea_surface","playarea_surface_otr","playarea_elements","playarea_elements_otr","pathsurface","geo_flat","geo_woods","hood","restype","commtype","near_school","near_library","near_hosp","near_childcare","st_hwy","st_lanes","st_bikelane","st_bus","entrances_num","entrances_xwalk","entrances_calming","playarea_structures"
"1","Apr 17, 2016 4:08:27 PM","Apr 17, 2016 4:14:10 PM","Apr 17, 2016","Albuquerque","al02","yes","yes","6AM TO 10PM","no","no","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","no","none","none","1","yes","yes","no","no","no","no","","no","no","no","no","no","no","no","yes","yes","yes","yes","no","no","no","few","no","","yes","no","no","no","yes","no","rubber sand","","climber house slide swing","Digger, math wheel, telephone game, seesaw, spring horse, zip line","none","yes","no","mix","","","no","no","no","no","no","1_2","no","no","mt4","many","none",9
"2","Apr 9, 2016 2:09:59 PM","Apr 9, 2016 2:19:32 PM","Apr 9, 2016","Albuquerque","al03","yes","yes","6AM-10PM","no","no","no","no","no","no","no","yes","yes","yes","no","no","no","yes","yes","no","no","none","none","none","no","yes","no","no","no","no","","yes","no","no","no","no","no","no","no","yes","no","yes","no","no","no","few","no","","yes","no","no","no","yes","no","mulch pavement","","climber house slide swing","","paved","yes","no","res","multi","","no","no","no","no","no","1_2","no","no","mt4","some","none",3
"3","May 15, 2016 10:11:53 AM","May 15, 2016 10:23:19 AM","May 15, 2016","Albuquerque","al04","yes","yes","6AM TO 10PM","no","no","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","no","none","none","none","yes","yes","no","no","no","no","","no","no","no","no","no","no","no","no","yes","yes","yes","no","no","no","few","no","","yes","no","no","no","no","no","rubber sand","","climber slide","","paved","yes","no","res","sgl","","no","no","no","no","no","1_2","no","no","3","some","none",3
"4","May 22, 2016 12:39:05 PM","May 22, 2016 12:45:53 PM","May 22, 2016","Albuquerque","al05","yes","yes","6AM - 10PM","no","no","no","no","no","no","no","yes","yes","yes","yes","no","no","yes","yes","no","no","none","none","none","yes","yes","no","no","no","no","","no","no","no","no","no","no","no","no","yes","yes","yes","no","no","no","many","no","","yes","no","no","no","yes","yes","pavement rubber","","climber slide swing","","none","somehills","yes","mix","","","no","no","no","no","no","1_2","no","no","3","many","some",2
"5","Jun 5, 2016 1:09:36 PM","Jun 5, 2016 4:12:20 PM","Jun 5, 2016","Albuquerque","al06","yes","yes","6AM TO 10PM","no","no","no","no","no","no","no","yes","yes","yes","no","no","no","yes","yes","no","yes","none","none","none","yes","yes","no","no","no","no","","no","no","no","no","no","no","no","yes","yes","yes","yes","no","no","no","many","no","","no","","no","no","no","yes","pavement sand","","climber sand slide swing","Digger, and music station","none","yes","no","res","sgl","","no","no","no","no","no","1_2","no","no","mt4","some","none",5
"6","Jun 12, 2016 10:12:49 AM","Jun 12, 2016 10:21:10 AM","Jun 12, 2016","Albuquerque","al07","yes","yes","6AM TO 10PM","no","no","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","no","none","none","1","yes","yes","no","no","no","no","","yes","no","no","no","no","no","no","no","yes","yes","yes","no","no","no","many","no","","yes","no","no","no","yes","no","pavement","","climber slide spinner swing","","paved","yes","no","res","sgl","","yes","no","no","no","no","1_2","no","no","mt4","none","none",3
"7","Jun 19, 2016 10:29:23 AM","Jun 19, 2016 10:40:30 AM","Jun 19, 2016","Albuquerque","al08","yes","yes","6AM TO 10PM","no","no","no","no","no","no","no","yes","yes","yes","no","no","no","yes","yes","no","no","none","none","2","yes","yes","no","no","no","no","","no","no","no","no","no","no","no","no","yes","yes","yes","no","no","no","many","no","","yes","no","no","no","yes","no","mulch pavement sand","","climber slide spinner swing","Zip line","paved","somehills","no","res","sgl","","no","yes","no","no","no","3_4","yes","yes","mt4","some","none",4
"8","Jun 26, 2016 4:07:50 PM","Jun 26, 2016 4:19:20 PM","Jun 26, 2016","Albuquerque","al09","yes","yes","6AM TO 10PM","no","no","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","no","none","none","none","no","no","no","no","no","no","","yes","no","no","no","no","no","no","no","yes","yes","no","no","no","no","many","no","","no","","no","no","yes","no","mulch","","climber slide swing","Ropes","none","yes","no","res","sgl apt","","no","no","no","no","no","1_2","no","no","none","some","none",0
"9","Jul 9, 2016 2:21:45 PM","Jul 9, 2016 2:27:35 PM","Jul 9, 2016","Albuquerque","al10","yes","yes","6AM TO 10PM","no","no","no","no","no","no","no","yes","no","yes","no","no","no","yes","yes","no","no","none","none","none","no","no","no","no","no","no","","no","no","no","no","no","no","no","no","yes","yes","yes","no","no","no","many","no","","yes","no","no","no","no","yes","mulch","","climber house slide swing","Rock climbing wall","none","somehills","no","mix","","","no","no","no","no","no","3_4","no","yes","mt4","none","none",2
"10","Jul 31, 2016 2:02:24 PM","Jul 31, 2016 2:16:08 PM","Jul 31, 2016","Buffalo","bu01","yes","yes","DAWN TO DUSK","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","yes","no","no","1","none","none","yes","yes","yes","no","no","no","Central building, always locked, purpose unclear","no","no","yes","no","no","yes","no","yes","yes","no","yes","yes","yes","no","few","no","","yes","no","no","no","","","","","","","paved","yes","no","ind","","","no","no","no","no","yes","3_4","no","no","1","some","some",NA
